classifier_id,classifier_score_name,locked_primary_analysis_set,locked_score_status,n_external_core_datasets,median_external_auc,min_external_auc,max_external_auc,n_auc_ge_0_60,n_auc_ge_0_65,median_pr_auc,median_pcr_prevalence,primary_rank,primary_interpretation,locked_conclusion_allowed,n_sensitivity_scenarios_evaluable,median_sensitivity_auc,min_sensitivity_auc,max_sensitivity_auc,max_abs_rank_shift,n_scenarios_auc_ge_0_60,n_scenarios_auc_ge_0_65,robustness_tier
IFNG_18,IFN-gamma 18-gene mean z score,external_core_validation,scored_preferred_coverage,6,0.678376215864817,0.56658728704891,0.757591093117409,4,4,0.397318801916987,0.28975,1,primary_strong_candidate,yes,6,0.672120611305898,0.664262609949873,0.680608065532451,2,6,6,robust
PAM50,PAM50 non-luminal affinity score,external_core_validation,scored_preferred_coverage,6,0.669683133646608,0.594414086217365,0.755050505050505,5,3,0.398384489354726,0.28975,2,primary_strong_candidate,yes,6,0.653597777168359,0.649968494013863,0.669683133646608,1,6,4,robust
ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,external_core_validation,scored_preferred_coverage,6,0.657166984766085,0.573770491803279,0.72516835016835,5,3,0.414775820906378,0.28975,3,primary_strong_candidate,yes,6,0.657166984766085,0.642965587044535,0.68991972866473,2,6,5,robust
CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,external_core_validation,scored_preferred_coverage,6,0.633774127558876,0.564755449716065,0.671235034656585,4,2,0.395427347919794,0.28975,4,primary_moderate_candidate,yes,6,0.629137323943662,0.629034915417195,0.638410931174089,2,6,0,moderately_robust
MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,external_core_validation,scored_preferred_coverage,4,0.632065320803738,0.524590163934426,0.727272727272727,2,2,0.410447847078328,0.32325,5,primary_weak_or_context_dependent,limited_evidence,6,0.622237665468195,0.591683458508884,0.653527506511662,2,5,1,fragile_or_context_dependent
GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,external_core_validation,scored_preferred_coverage,6,0.628904366576613,0.561020036429873,0.72516835016835,4,2,0.387034759235672,0.28975,6,primary_moderate_candidate,yes,6,0.629923175178513,0.621928166351607,0.634587389511277,2,6,0,moderately_robust
ENDOPREDICT_11,EndoPredict approximate weighted expression score,external_core_validation,scored_preferred_coverage,6,0.628089209180249,0.549483910139648,0.728114478114478,4,1,0.346963939020028,0.28975,7,primary_moderate_candidate,yes,6,0.628613017259306,0.614119433198381,0.642058985162118,3,6,0,moderately_robust
GENE76,Wang 76-gene weighted risk score,external_core_validation,scored_preferred_coverage,6,0.564361138374296,0.515482695810565,0.612764084507042,1,0,0.350021350897505,0.28975,8,primary_weak_or_context_dependent,yes,6,0.546358903471073,0.495206552963601,0.577861952861953,0,0,0,fragile_or_context_dependent
