classifier_id,classifier_score_name,n_external_core_datasets,median_brier,min_brier,max_brier,median_abs_calibration_intercept,median_calibration_slope,min_calibration_slope,max_calibration_slope,median_observed_expected_ratio,n_abs_intercept_gt_0_5,n_slope_outside_0_5_1_5,n_oe_outside_0_8_1_25,calibration_failure_class
CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,6,0.21238665564289,0.12730525309529,0.254214810784555,0.475450738353985,14.9336709427792,7.20223534434214,20.6402335145966,1.42770192555626,3,6,5,frequent_calibration_failure
ENDOPREDICT_11,EndoPredict approximate weighted expression score,6,0.215684737905744,0.128999998016328,0.247844241061537,0.523768139207837,0.832816820312047,0.0962831004256563,1.21111471660807,1.44991024948462,3,2,5,frequent_calibration_failure
GENE76,Wang 76-gene weighted risk score,6,0.213623042199559,0.131488833771219,0.25025829948366,0.507288084302057,0.464979404979073,0.295393993131093,1.07236389190378,1.44670578008024,3,4,5,frequent_calibration_failure
GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,6,0.215223114564843,0.12604548927669,0.254857875034136,0.500390660344273,0.460476187251462,0.133438984868703,0.861633547921901,1.38024575788359,3,3,4,frequent_calibration_failure
IFNG_18,IFN-gamma 18-gene mean z score,6,0.207065768993433,0.117808953574473,0.242055185328743,0.477139195019757,1.5244385343299,0.605248965795579,3.38747930946546,1.40487873445212,3,3,5,frequent_calibration_failure
MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,4,0.239805061039525,0.16815872164465,0.253386844113753,0.817084209354837,0.430191608007002,0.102998329965914,0.731976413587834,1.63015846349306,3,2,3,frequent_calibration_failure
ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,6,0.211208939223299,0.126414993597458,0.229863536277001,0.488102875385453,0.788995245970953,0.222878239209276,0.943343429978616,1.37010368394446,3,2,5,frequent_calibration_failure
PAM50,PAM50 non-luminal affinity score,6,0.208818569989582,0.121451999294698,0.236758159643145,0.558140091984645,0.82765085219737,0.405899582610689,0.998651942546818,1.45828567706637,3,2,5,frequent_calibration_failure
